college,SS,FSR,FQE,FRU,PU,QP,IPR,FPPP,GPH,GUE,MS,GPHD,RD,WD,ESCS,PCS,PR,Score,Rank
Indian Institute of Technology Madras,18.5,30,17.3,29.4,35,36.41,15,10,28.54,14.6,20,16.75,21.29,14.11,7.86,20,100,89.79,1
Indian Institute of Technology Delhi,18.43,26.2,17.05,23.21,34.09,38.72,15,6.94,33.59,13.5,21.18,16.73,22.94,16.65,8.33,20,94.07,87.09,2
Indian Institute of Technology Bombay,18.5,24,16.09,20.53,31.5,34.4,15,7.04,31.34,13.89,19.5,17.2,19.03,13.46,4.41,20,85.36,80.74,3
Indian Institute of Technology Kanpur,18.5,25.29,17.36,23.2,28.45,30.39,14,7.32,36.04,15,21.93,16.02,19.94,11.35,7.53,20,76.15,80.65,4
Indian Institute of Technology Roorkee,17.61,23.7,15.5,17.74,29.63,34.04,10,4.68,37.59,15,20.78,15.54,23.08,11.96,5.38,20,59.37,75.64,5
Indian Institute of Technology Kharagpur,18.45,20.07,14.03,14.71,30.59,37.26,8,2.44,31.21,13.14,20.33,20,19.62,10.55,5.88,20,75.51,73.76,6
Indian Institute of Technology Guwahati,18.5,20.99,12.01,16.2,28.74,30.97,10,5.29,32.31,15,22.09,15.61,22.6,11.4,0.95,20,50.09,70.32,7
Indian Institute of Technology Hyderabad,12.65,30,18.32,22.89,24.53,24.25,7,5.35,31.37,15,21.12,8.43,17.08,15.41,3.46,20,60.04,70.28,8
National Institute of Technology Tiruchirappalli,17.5,23.39,15.86,16.99,25.69,27.48,6,2.28,35.23,15,17.02,11.57,16.68,20.76,8.41,20,67.98,69.71,9
Jadavpur University,17.35,29.25,18.97,11.32,27.98,29.01,6,2.91,33.67,15,15.95,12.06,6.54,18.03,8.24,20,35.84,67.04,10
Vellore Institute of Technology,20,21.54,13.65,7.16,26.96,37.21,11,0.24,27.9,15,13.38,14.11,19.65,21.86,0.12,20,50.21,66.59,11
"National Institute of Technology Karnataka, Surathkal",17.5,22.17,14.23,18.9,23.14,23.44,6,3.51,33.87,15,16.87,11.49,16.65,16.32,9.99,20,48.38,65.26,12
Anna University,17.59,23.2,13.15,9.98,27.4,32.94,12,2.14,21.6,14.37,11.72,12.25,0.59,25.29,4.14,20,65.5,65.06,13
Indian Institute of Technology Indore,10.88,29.99,17.79,17.23,25.55,26.3,5,4.04,27.17,15,20.37,9.84,19.96,13.81,5.76,20,24.73,63.93,14
Indian Institute of Technology (Banaras Hindu University) Varanasi,16.8,17.7,12.35,14.27,23.48,27.98,6,2.56,35.44,15,20.27,11.51,16.77,10.22,9.17,20,53.31,63.74,15
National Institute of Technology Rourkela,17.5,25.7,17.05,13.71,25.91,27.98,6,1.81,30.41,15,14.52,11.61,15.95,14.41,8.69,20,18.85,62.79,16
Indian Institute of Technology (Indian School of Mines),15,21.48,14.7,15.19,26.91,30.33,4,2.35,31.15,12.64,17.91,11.22,19.16,10.32,7.76,20,30.85,62.37,17
Indian Institute of Technology Gandhinagar,10,30,19.48,23.32,18.05,16.61,2,6.19,29.68,14.57,16.71,7.91,21.18,20.24,4.71,20,35.84,61.66,18
Amrita Vishwa Vidyapeetham,18,30,18.21,10.22,23.06,21.55,8,1.94,34.36,15,10.21,2.28,17.66,21.95,5.44,20,33.77,61.54,19
Thapar Institute of Engineering and Technology (Deemed-to-be-university),17.16,26.57,15.41,11.81,21.75,30.02,9,0.69,31.32,15,15,9.28,17.31,24.97,0.79,20,10.79,61.24,20
National Institute of Technology Warangal,16.5,24.79,16.34,14.95,20.81,21.81,7,1.23,32.81,15,17.42,9.18,15.94,16.52,4.73,20,34.99,61.13,21
Indian Institute of Technology Ropar,11.05,28.28,18.13,19.81,17.96,18.73,4,3.84,31.57,15,18.96,5.54,22.29,14.74,7.91,20,32.7,60.51,22
National Institute of Technology Calicut,16,27.3,17.41,13.33,17.11,17.44,5,1.27,37.17,15,16.24,10.21,15.32,22.89,9.76,20,33.06,60.28,23
Institute of Chemical Technology,10.82,26.74,18.02,17.36,17.54,19.84,14,4.93,30.76,15,13.54,9.7,7.65,24.91,1.1,20,17.57,59.7,24
Birla Institute of Technology,12.52,27.61,16.44,11.19,17.8,17.36,0.5,1.35,25.77,13.74,15.13,4.92,11.49,18.9,1.01,20,22.01,59.52,25
"Jamia Millia Islamia,New Delhi",10.5,26.85,14.78,9.77,26.86,26.71,3,3.03,37.84,15,13.02,7.35,22.91,11.78,9.16,20,18.34,59.3,26
Siksha `O` Anusandhan,17.36,30,15.42,13.74,16.01,19.12,8,1,32.61,15,9.54,8.31,20.88,30,1.3,20,24.07,58.92,27
S.R.M. Institute of Science and Technology,17.55,23.15,13.16,9.93,24.14,29.73,6,0.31,32.83,14.81,9.54,7.82,18.31,22.49,0.8,20,22.01,58.56,28
Delhi Technological University,18.9,30,11.96,9.57,18.33,21.47,0.5,0.83,36.74,15,17.44,5.09,14.24,19.6,3.19,20,43.22,58.34,29
Indian Institute of Technology Jodhpur,11.04,30,18.58,21.34,15.51,16.58,1.5,4.64,35.69,15,18.42,3.97,19.01,20.42,5.42,20,11.7,58.03,30
"Amity University Haryana, Gurgaon",7.89,30,19.07,7.19,7.37,9.42,4,0.94,19.08,15,9.24,1.98,14.79,26.12,2.83,20,7.93,57.3,31
Aligarh Muslim University,11,30,16.17,12.9,24.95,25.86,7,2.03,29.42,12.61,11.43,5.66,5.38,11.59,3.23,20,24.51,57.26,32
Indian Institute of Technology Mandi,9.24,22.26,15.21,15.92,17.72,18.13,4,2.62,37.04,13.57,21.25,7.45,20.74,16.29,9.31,20,24.73,56.49,33
Shanmugha Arts Science Technology & Research Academy,16.47,30,16.75,10.82,16.25,20.99,5,1.9,34.85,15,12.41,6.82,11.72,25.81,0.44,20,11.4,56.21,34
"Indian Institute of Engineering Science and Technology, Shibpur",13.44,22.64,14.55,12.83,20.81,20.29,3,1.58,32.35,14.88,13.52,10.72,11.94,17.14,9.83,20,31.97,56.12,35
Kalasalingam Academy of Research and Education,16.47,30,17.59,10.07,13.85,17.78,4,0.6,34.88,15,10.62,8,17.53,30,7.8,20,13.46,55.69,36
Malaviya National Institute of Technology,15.25,23.51,15.72,11.22,21.18,23.22,5,1.86,29.41,15,14.4,8.08,12.94,19.12,7.5,20,11.7,55.6,37
Chandigarh University,18.95,30,16.64,10.11,8.41,13.28,9,0.35,23.69,15,12.56,7.94,25,30,4.56,20,33.77,55.2,38
Kalinga Institute of Industrial Technology,20,25.27,15.82,11.51,13.84,18.03,10,0.46,20.69,15,11.15,10.44,25.66,29.86,1.86,20,14.59,55.14,39
National Institute of Technology Silchar,13.34,21.04,14.23,12.25,22.65,23.74,7,1.19,33.26,15,14.72,6.79,14,15.33,4.02,20,11.4,55.07,40
Indian Institute of Technology Patna,10.99,17.84,11.84,16.27,22.35,22.3,3,3.75,30.46,13.68,19.77,8.34,18.76,10.37,7.02,20,24.73,55.03,41
"Visvesvaraya National Institute of Technology, Nagpur",14.04,22.45,15.13,13.51,17.12,17.29,10,2.62,35.07,15,15.58,7.12,12.63,17.29,3.48,20,14.88,55.03,41
National Institute of Technology Durgapur,14.42,22.14,14.27,13.11,18.64,19.06,2,1.62,35.84,15,13.99,9.38,14.54,13.1,8.16,20,19.1,53.91,43
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),17.43,30,17.2,6.3,19.9,19.87,6,0.37,24.27,15,11.36,7.29,10.15,25.8,0.48,20,13.46,53.69,44
Sri Sivasubramaniya Nadar College of Engineering,12.5,28.32,16.13,10.73,18.75,18.42,3,0.91,33.47,15,12.25,6.22,3.89,25.52,3.81,20,15.43,52.88,45
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",15.59,29.21,13.96,9.23,14.88,18.38,3,0.5,25.83,15,13.59,6.44,14.24,25.14,8.38,20,24.73,52.85,46
Indian Institute of Technology Bhubaneswar,10.95,20.18,13.92,15.3,15.66,16.86,2,2.82,33.73,15,19.01,6.41,21.19,10,6.48,20,24.95,52.42,47
Indian Institute of Space Science and Technology,7.19,30,16.85,19.03,11.1,10.45,2,0.89,30.33,13.86,16.27,2.95,19.62,17.72,4.38,20,39.39,52.04,48
Motilal Nehru National Institute of Technology,16.01,16.61,11.34,13.18,16.27,18.2,4,1.9,36.73,15,16.84,9,12.93,12.04,9.82,20,16.51,51.89,49
Lovely Professional University,18,23.53,12.72,5.39,14.69,21.73,13,0.1,20.21,15,11.19,2.79,24.43,19.08,0,20,25.39,51.47,50
National Institute of Technology Delhi,6.79,30,17.95,13.72,13.96,13.61,1.5,0.77,29.74,15,16.62,2.22,18.88,22.52,11.01,20,19.6,51.41,51
Visvesvaraya Technological University,7.11,26.64,13.59,18.6,26.29,20.26,3,0.42,28.1,14.61,8.72,1.22,0.36,28.02,3.56,20,8.91,51.38,52
Birla Institute of Technology  & Science -Pilani,18.84,20.2,13.36,11.77,21.38,26.68,4,0.81,36.98,15,19.66,6.76,19.93,14.43,0.02,20,32.88,50.68,53
UPES,14.5,26.42,15.52,11.01,15.07,18.07,6,0.31,20.32,15,10.23,0.52,21.31,21.36,0.07,20,30.66,50.63,54
International Institute of Information Technology Hyderabad,9.5,20.58,14.25,12.24,17.02,17.15,3,3.44,25.64,12.02,25,2.34,21.3,16.64,0.43,20,23.4,50.33,55
National Institute of Technology Patna,12.86,22.14,14.85,11.64,17.22,19.39,1.5,1.65,35.4,15,14.14,5.73,9.98,12.27,10.03,20,4.87,50.16,56
Defence Institute of Advanced Technology,5,29.46,18.12,16.45,15.06,15.41,5,6.3,20.74,9.87,20.82,2.62,14.14,24.02,0,20,2.69,50.14,57
National Institute of Technology Kurukshetra,15.11,17.78,10.16,11.9,17.42,19.92,3,0.86,29.09,15,12.25,4.21,14.59,16.08,3.46,20,35.17,49.89,58
"Indian Institute of Technology, Tirupati",9.32,30,17.17,19,6.54,8.8,0.5,2.65,30.88,15,16.45,0.38,16.22,12.23,9.7,20,32.52,49.8,59
Netaji Subhas University of Technology (NSUT),16.21,28.53,15.35,8.87,9.14,12.42,1.5,0.39,34.73,15,18.8,7.03,5.24,18.66,2.36,20,22.25,49.68,60
Manipal Institute of Technology,16.34,27.77,13.86,7.77,14.76,18.76,2,0.13,21.84,15,13.34,3.83,19.03,21.71,1.51,20,21.78,49.62,61
Graphic Era University,14,25.4,14.15,10.55,9.58,12.29,10,0.26,24.51,15,11.18,3.06,19.92,28.19,0.43,20,31.23,49.59,62
PSG College of Technology,14.71,28.01,13.97,7.81,10.31,13.18,6,0.49,26.07,14.52,11.25,3.06,1.04,24.05,2.12,20,53.86,49.43,63
Saveetha Institute of Medical and Technical Sciences,15.5,28.73,19.38,7.77,18.01,19.73,8,0.28,9.75,15,8.96,1.45,20.24,22.93,6.17,20,1.94,49.3,64
Sardar Vallabhbhai National Institute of Technology,14.05,19.62,13.22,10.9,16.67,18.18,5,1.09,31.08,14.74,13.82,6.37,12.14,15.85,3.58,20,10.17,49,65
Sathyabama Institute of Science and Technology,15.46,25.28,13.13,7.17,16.99,18.53,8,0.52,19.11,13.64,9.3,5.46,18.34,26.13,2.28,20,11.7,48.87,66
Indian Institute of Technology Jammu,8.08,30,16.94,19.6,7.73,10.46,0,3.33,25.38,14.52,17.2,0.23,19.91,11.3,5.35,20,22.01,48.15,67
Banasthali Vidyapith,11.49,27.77,16.58,8.58,7.86,10.59,2,0.81,36.89,15,12.41,8.23,18.55,30,4.49,20,4.16,47.93,68
Indian Institute of Technology Palakkad,7.56,30,16.47,17.94,6.78,7.86,0,2.86,29.88,15,16.15,0.15,19.94,21.24,4.79,20,21.78,47.86,69
"National Institute of Technology, Raipur",14.08,19.33,12.8,9.39,17.92,19.4,2.5,0.54,28.07,15,14.59,6.69,11.92,15.48,8.41,20,4.51,47.69,70
University of Hyderabad,2.89,27.2,17.77,11.5,23.58,21.05,0,1.29,24.62,11.23,12.79,5.7,5.53,17.67,0,20,7.27,47.51,71
National Institute of Technology Meghalaya,5.81,30,18.37,13.38,14.73,13.62,1,2.02,29.07,13.1,13.33,2.16,9.13,16.9,9.37,20,5.22,47.27,72
"College of Engineering, Pune",11.5,26.88,13.35,13.77,8.12,7.1,5,2.4,35.25,15,14.9,1.73,2.13,23.99,5.5,20,19.1,46.89,73
International Institute of Information Technology Bangalore,6.16,21.96,13.08,26.04,7.92,4.68,1,7.27,24.11,14.92,23.16,0.88,21.77,16.84,0,20,16.78,46.58,74
Indraprastha Institute of Information Technology Delhi,11.42,16.85,11.48,12.24,16.35,16,1,3.33,31.51,15,20,3.38,10.56,16.1,0.67,20,12.59,46.57,75
Manipal University Jaipur,12.97,23.44,13.86,8.3,11.92,14.18,7,0.19,34.05,15,11.38,0.81,20.94,22.38,0.19,20,2.32,46.39,76
Sri Krishna College of Engineering and Technology,11.89,27.88,13.38,10.52,8.29,9.99,6,0.27,37.29,15,11.07,0.74,1.06,25.72,3.17,20,17.57,46.03,77
M. S. Ramaiah Institute of Technology,13.75,28.34,15.27,8.43,7.6,9.35,5,0.35,33.3,15,11.65,1.98,8.74,25.19,1.73,20,15.97,45.99,78
Rajiv Gandhi Institute of Petroleum Technology,8,29.47,18.57,20.64,3.02,7.11,0,2.43,37.12,15,13.87,2.51,18.19,13.02,3.36,20,0.4,45.97,79
Maulana Azad National Institute of Technology,15.45,17.51,11.92,9.15,13.16,15.85,3,0.75,31.66,15,15.3,3.83,12.52,18.14,10.01,20,6.26,45.9,80
Indian Institute of Technology Bhilai,6.59,30,16.83,19.67,4.72,6.11,0,2.71,32.56,15,17.39,0.59,23.08,8.99,7.22,20,8.26,45.86,81
National Institute of Technology Srinagar,13.01,19.3,13.03,13.1,11.01,12.69,2,0.92,30.57,15,13.58,5.73,12.17,14.81,12.68,20,12.3,45.7,82
Jawaharlal Nehru Technological University,14,23.83,12.47,15.62,10.31,10.74,4,2.57,24.04,12.47,10.09,3.12,2.48,26.45,6.24,20,12.3,44.75,83
Guru Gobind Singh Indraprastha University,9.5,23.98,13.84,8.01,16.84,15.66,0.5,0.7,23.95,15,14.04,3.27,6.23,21.1,1.21,18,17.04,44.31,84
"Vignan's Foundation for Science, Technology and Research",13.85,30,15.2,4.16,8.41,10.44,8,0.33,20.87,14.71,10.14,2.95,8.91,26.36,5.86,20,7.93,43.74,85
Rajalakshmi Engineering College,14.3,29.03,14.52,7.69,2.99,5.85,5,0.78,34.53,15,10.09,2.68,6.4,27.81,9.08,20,6.26,43.46,86
Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,13.1,28.55,13.72,4.12,12.56,15.02,7,0.2,16.54,12.19,9.08,0.52,20.33,19.31,6.27,20,8.91,43.43,87
Atal Bihari Vajpayee Indian Institute of Information Technology and Management,6.43,20.39,14.31,11.42,9.42,10.54,0,0.86,36.83,15,21.4,1.41,22.1,12.54,3.44,20,6.6,43.41,88
Indian Institute of Information Technology Allahabad,10.38,15.27,10.46,8.9,9.45,10.23,1.5,0.75,34.25,15,23.23,4.84,17.66,12.36,3.61,20,23.85,43.29,89
National Institute of Technology Goa,5.84,25.61,16.5,11.3,11.01,10.76,1.5,0.66,27.2,13.63,13.34,2.51,16.46,19.27,2.74,20,11.4,43.28,90
National Institute of Technology Agartala,12.4,19.51,12.49,9.97,11.28,14.18,2.5,0.25,28.53,13.32,12.96,4.57,12.25,18.7,8.66,20,6.26,43.24,91
Chitkara  University,14.43,15.15,9.23,8.7,8.62,11.97,10,0.29,24.28,14.51,12.34,1.22,17.6,24.84,0.41,20,22.25,42.48,92
Indian Institute Of Technology Dharwad,7,26.51,14.75,16.59,5.23,7.3,0,2.63,26.67,15,15.54,0.15,22.81,13.89,2.47,0,29.69,42.36,93
AU College of Engineering (A),12.5,20.56,11.69,14.42,4.13,4.52,3,1.33,38.72,15,11.16,7.19,2.51,28.1,6.19,20,5.92,42.32,94
National Institute of Technology Manipur,7.15,29.66,15.94,10.31,8.09,10.73,1,0.79,23.78,13.75,12.94,2.9,10.62,20.47,10.14,20,3.79,42.28,95
R.V. College of Engineering,14,27.15,14.87,7.54,7.09,6.62,3,0.34,26.46,15,14.69,1.02,7.13,22.62,2.29,20,14.03,42.22,96
"Pandit Dwarka Prasad Mishra Indian Institute of Information Technology, Design and Manufacturing (IIITDM)",8.83,15.12,10.32,10.38,12.97,15.16,1.5,0.84,33.64,15,15.59,4.21,19.69,10.24,6.09,20,3.06,42.14,97
SR University,10.93,30,17.52,6.87,4.86,7.9,3,0.04,26.78,15,9.82,0.38,6.63,29.67,6.36,20,10.79,42.09,98
Amity University,15.5,27.54,14.73,8.52,24.9,24.96,11,0.61,27.37,15,10.18,5.73,15.99,23.28,0.16,20,13.75,41.99,99
"C.V. Raman Global University, Odisha",14.3,29.13,16.74,9.62,0.49,1.84,3,0.37,32.59,15,10.45,0.23,17.9,26.41,5.64,20,6.26,41.93,100